Date and Time,Temperature,ECG,GSR,HR
2024-07-06 19:10:55.267694+00:00,81.55,0.0802,0.043,70.97
2024-07-06 19:10:52.173285+00:00,81.66,0.0547,0.045,0.1
2024-07-06 19:10:49.074709+00:00,81.7,0.0547,0.0371,0.0
2024-07-06 19:10:45.976415+00:00,81.95,0.0557,0.0371,0.0
2024-07-06 19:10:42.882303+00:00,81.45,0.0743,0.0508,0.0
2024-07-06 19:10:39.789052+00:00,81.73,0.0772,0.0479,0.0
2024-07-06 19:10:36.694791+00:00,94.01,0.0577,0.0469,0.0
2024-07-06 19:10:33.598770+00:00,81.81,0.0587,0.0538,0.0
2024-07-06 19:10:30.499055+00:00,81.7,0.0743,0.0469,0.0
2024-07-06 19:10:27.403167+00:00,82.06,0.0792,0.0469,71.26
2024-07-06 19:10:24.309584+00:00,82.02,0.0743,0.0459,71.16
2024-07-06 19:10:21.216402+00:00,81.95,0.0547,0.043,0.0
2024-07-06 19:10:18.118827+00:00,82.06,0.0557,0.045,0.1
2024-07-06 19:10:15.028107+00:00,81.95,0.0772,0.0469,0.0
2024-07-06 19:10:11.935928+00:00,94.87,0.085,0.0469,0.0
2024-07-06 19:10:08.839294+00:00,100.85,0.0587,0.044,71.26
2024-07-06 19:10:05.740802+00:00,93.47,0.0802,0.043,0.0
2024-07-06 19:10:02.646292+00:00,90.23,0.0616,0.0538,0.0
2024-07-06 19:09:59.555369+00:00,89.04,0.0577,0.0499,70.97
2024-07-06 19:09:56.459971+00:00,87.93,0.0762,0.0489,70.67
2024-07-06 19:09:53.366301+00:00,88.07,0.0772,0.0499,71.46000000000001
2024-07-06 19:09:50.268941+00:00,94.73,0.0547,0.0479,71.07
2024-07-06 19:09:47.175175+00:00,81.45,0.0792,0.0489,71.46000000000001
2024-07-06 19:09:44.082407+00:00,81.7,0.0782,0.0499,70.97
2024-07-06 19:09:40.983286+00:00,81.01,0.0841,0.0508,71.16
2024-07-06 19:09:37.890533+00:00,92.68,0.0782,0.0499,71.46000000000001
2024-07-06 19:09:34.796039+00:00,95.95,0.0782,0.0459,71.26
2024-07-06 19:09:31.704392+00:00,95.92,0.0772,0.0528,71.16
2024-07-06 19:09:28.611922+00:00,95.09,0.0811,0.0479,71.46000000000001
2024-07-06 19:09:25.515183+00:00,92.68,0.0821,0.0489,0.0
2024-07-06 19:09:22.421994+00:00,91.89,0.0782,0.0489,71.36
2024-07-06 19:09:19.331153+00:00,90.84,0.0782,0.0508,71.07
2024-07-06 19:09:16.252345+00:00,93.76,0.0821,0.0499,70.67
2024-07-06 19:09:13.182227+00:00,81.34,0.0772,0.0489,71.26
2024-07-06 19:09:10.119784+00:00,81.45,0.0792,0.0469,71.16
2024-07-06 19:09:07.055989+00:00,81.23,0.0782,0.0489,70.67
2024-07-06 19:09:03.987039+00:00,81.37,0.0821,0.0489,71.46000000000001
2024-07-06 19:01:34.810362+00:00,81.48,0.0782,0.0909,0.0
2024-07-06 19:01:31.708642+00:00,81.59,0.0792,0.0782,55.620000000000005
2024-07-06 19:01:28.613219+00:00,81.73,0.0733,0.0587,45.06
2024-07-06 19:01:25.518989+00:00,81.59,0.0753,0.089,31.669999999999998
2024-07-06 19:01:22.422793+00:00,81.59,0.0704,0.0645,70.97
2024-07-06 19:01:19.324086+00:00,82.96,0.0733,0.0332,45.94
2024-07-06 19:01:16.226466+00:00,81.91,0.1681,0.088,42.82
2024-07-06 19:01:13.135654+00:00,81.73,0.4868,0.216,29.720000000000002
2024-07-06 19:01:10.039854+00:00,82.02,0.5044,0.219,63.14999999999999
2024-07-06 19:01:06.944649+00:00,81.84,0.5005,0.1945,58.26
2024-07-06 19:01:03.849185+00:00,81.59,0.5005,0.0997,34.699999999999996
2024-07-06 19:01:00.752324+00:00,81.73,0.2512,0.1359,41.06
2024-07-06 19:00:57.660973+00:00,81.48,0.4555,0.217,43.99
2024-07-06 19:00:54.567341+00:00,81.73,0.4741,0.1887,39.300000000000004
2024-07-06 19:00:51.469202+00:00,81.73,0.5327,0.2434,69.78999999999999
2024-07-06 19:00:48.373951+00:00,81.73,0.5601,0.1398,46.43
2024-07-06 19:00:45.279366+00:00,81.81,0.5064,0.1711,43.4
2024-07-06 19:00:42.180253+00:00,81.73,0.5728,0.3109,27.37
2024-07-06 19:00:39.087627+00:00,81.48,0.6158,0.3392,51.61
2024-07-06 19:00:35.992382+00:00,81.55,0.6119,0.2874,69.99
2024-07-06 19:00:32.898382+00:00,81.7,0.4673,0.2033,61.09
2024-07-06 19:00:29.801961+00:00,81.48,0.4536,0.3851,52.39
2024-07-06 19:00:26.706657+00:00,81.45,0.6354,0.3646,32.26
2024-07-06 19:00:23.609951+00:00,81.66,0.477,0.2297,63.24999999999999
2024-07-06 19:00:20.514734+00:00,81.81,0.4604,0.2004,30.69
2024-07-06 19:00:17.419906+00:00,81.73,0.219,0.0811,49.559999999999995
2024-07-06 19:00:14.323431+00:00,81.81,0.2151,0.0802,69.5
2024-07-06 19:00:11.229001+00:00,81.81,0.0,0.085,60.61
2024-07-06 19:00:08.137850+00:00,81.59,0.0,0.0802,36.27
2024-07-06 19:00:05.042336+00:00,81.73,0.0,0.0802,21.7
2024-07-06 19:00:01.946497+00:00,81.59,0.0,0.0811,56.3
2024-07-06 18:59:58.850362+00:00,81.59,0.0,0.0792,21.8
2024-07-06 18:59:55.754709+00:00,81.7,0.0029,0.0802,51.910000000000004
2024-07-06 18:59:52.662647+00:00,81.55,0.0,0.0811,58.06
2024-07-06 18:59:49.568891+00:00,81.73,0.0,0.0792,48.97
2024-07-06 18:59:46.472480+00:00,81.81,0.0,0.0802,52.0
2024-07-06 18:59:43.379266+00:00,81.66,0.0,0.0811,43.11
2024-07-06 18:59:40.287760+00:00,81.7,0.0,0.0821,69.39999999999999
2024-07-06 18:59:37.192180+00:00,81.81,0.0,0.0792,55.03
2024-07-06 18:59:34.095606+00:00,81.66,0.001,0.0811,60.12
2024-07-06 18:59:31.007631+00:00,81.48,0.0,0.0811,69.01
2024-07-06 18:59:27.918033+00:00,81.91,0.0,0.0802,42.33
2024-07-06 18:59:24.823155+00:00,81.59,0.2229,0.0811,43.6
2024-07-06 18:59:21.728211+00:00,81.84,0.218,0.0782,43.99
2024-07-06 18:59:18.634320+00:00,81.45,0.2248,0.0811,45.94
2024-07-06 18:59:15.540539+00:00,81.59,0.0,0.0821,60.41
2024-07-06 18:59:12.446817+00:00,81.45,0.2209,0.0831,48.0
2024-07-06 18:59:09.353888+00:00,81.66,0.2258,0.0811,69.39999999999999
2024-07-06 18:59:06.261398+00:00,81.55,0.0,0.0802,69.6
2024-07-06 18:59:03.170167+00:00,81.7,0.2248,0.0821,47.31
2024-07-06 18:59:00.075605+00:00,81.95,0.0,0.0811,40.57
2024-07-06 18:58:56.983215+00:00,81.73,0.0,0.0811,51.81
2024-07-06 18:58:53.884378+00:00,81.91,0.0,0.0792,50.05
2024-07-06 18:58:50.790105+00:00,82.02,0.0,0.0811,67.06
2024-07-06 18:58:47.695763+00:00,82.17,0.002,0.0811,55.13
2024-07-06 18:58:44.602771+00:00,81.81,0.2268,0.0811,69.99
2024-07-06 18:58:41.511410+00:00,81.91,0.0,0.085,62.849999999999994
2024-07-06 18:58:38.419659+00:00,81.66,0.0,0.0811,60.61
2024-07-06 18:58:35.328617+00:00,81.66,0.0029,0.0811,52.2
2024-07-06 18:58:32.236490+00:00,81.66,0.0,0.0811,19.06
2024-07-06 18:58:29.140732+00:00,81.7,0.0,0.0792,69.69999999999999
2024-07-06 18:58:26.044929+00:00,81.7,0.0,0.0811,66.75999999999999
2024-07-06 18:58:22.951524+00:00,81.81,0.0,0.0821,58.36
2024-07-06 18:58:19.860071+00:00,81.66,0.0,0.0841,30.89
2024-07-06 18:58:16.767869+00:00,81.73,0.0029,0.0811,0.29
2024-07-06 18:58:13.673050+00:00,81.91,0.0,0.0782,70.09
2024-07-06 18:58:10.581687+00:00,81.66,0.002,0.0811,22.09
2024-07-06 18:58:07.486303+00:00,81.81,0.0,0.0792,45.65
2024-07-06 18:58:04.392070+00:00,81.95,0.0,0.0802,55.910000000000004
2024-07-06 18:58:01.296112+00:00,81.91,0.0,0.0811,65.79
2024-07-06 18:57:58.203404+00:00,81.73,0.0,0.0811,58.06
2024-07-06 18:57:55.127106+00:00,81.7,0.0,0.0811,69.99
2024-07-06 18:57:52.057600+00:00,81.66,0.0,0.085,46.92
2024-07-06 18:57:48.987101+00:00,81.81,0.0,0.0831,43.4
2024-07-06 18:57:45.916450+00:00,81.81,0.0,0.0802,47.02
2024-07-06 18:57:42.839467+00:00,81.81,0.0,0.0831,45.36
2024-07-06 18:53:07.323286+00:00,81.84,0.0743,0.0381,0.3451
2024-07-06 18:53:04.182867+00:00,81.7,0.0811,0.0772,0.3138
2024-07-06 18:53:01.083117+00:00,81.59,0.0674,0.0391,0.6325
2024-07-06 18:52:57.987873+00:00,81.66,0.0762,0.0557,0.651
2024-07-06 18:52:54.891726+00:00,81.7,0.0684,0.1486,0.0
2024-07-06 18:52:51.797879+00:00,81.81,0.0762,0.0371,0.654
2024-07-06 18:52:48.702996+00:00,82.06,0.0772,0.0489,0.6979
2024-07-06 18:52:45.611607+00:00,81.84,0.0704,0.0616,0.0
2024-07-06 18:52:42.515993+00:00,81.7,0.0723,0.1574,0.0
2024-07-06 18:52:39.419327+00:00,81.91,0.0762,0.042,0.5103
2024-07-06 18:52:36.325239+00:00,81.84,0.0723,0.043,0.7009
2024-07-06 18:52:33.230060+00:00,81.81,0.0743,0.0694,0.3666
2024-07-06 18:52:30.138327+00:00,81.45,0.0714,0.1065,0.1193
2024-07-06 18:52:27.041450+00:00,81.81,0.0753,0.0518,0.697
2024-07-06 18:52:23.945468+00:00,81.55,0.0704,0.0831,0.0782
2024-07-06 18:52:20.849493+00:00,81.37,0.0792,0.0587,0.6725
2024-07-06 18:52:17.761104+00:00,81.48,0.0762,0.0411,0.6989
2024-07-06 18:52:14.666451+00:00,81.45,0.0753,0.1369,0.0
2024-07-06 18:52:11.567700+00:00,81.91,0.0733,0.0723,0.696
2024-07-06 18:52:08.472515+00:00,81.7,0.0723,0.044,0.6999
2024-07-06 18:52:05.403003+00:00,81.81,0.0743,0.1153,0.0
2024-07-06 18:52:02.334852+00:00,81.84,0.0753,0.0587,0.6813
2024-07-06 18:51:59.264946+00:00,81.45,0.0762,0.0401,0.7019
2024-07-06 18:51:56.198286+00:00,81.45,0.0743,0.1095,0.0049
2024-07-06 18:51:53.134200+00:00,81.27,0.0782,0.0753,0.434
